weapon1,weapon2,hypothesis,accf,cmc,n,split1,split2,split3
174072,130808,0,8.5156,0,44,n,t,n
141753,130808,0,9.1324,0,35,n,t,n
522495,122341,0,14.2968,1,31,t,t,v
522495,900158,0,9.8653,0,31,t,t,v
522495,171118,0,14.8419,0,31,t,t,v
522495,130557,0,8.1763,1,31,t,t,v
522495,217092,0,16.1976,1,31,t,t,v
122341,900158,0,19.9807,0,32,t,t,v
122341,171118,0,16.2341,0,32,t,t,v
122341,130557,0,12.2415,0,32,t,t,v
122341,217092,0,19.4343,1,32,t,t,v
900158,171118,0,14.3736,0,40,t,t,v
900158,282725,0,13.2051,0,40,t,n,n
900158,452304,0,16.7135,0,40,t,t,v
171118,282725,0,11.0379,0,32,t,n,n
171118,452304,0,14.9227,0,32,t,t,v
130557,217092,0,22.1082,1,31,t,t,v
130557,282725,0,11.9028,1,31,t,n,n
130557,452304,0,9.5546,0,31,t,t,v
217092,282725,0,10.5703,1,28,t,n,n
217092,452304,0,11.0857,0,28,t,t,v
282725,452304,0,12.2982,2,35,t,n,n
122577,150482,0,7.3255,0,28,t,n,n
122577,105732,0,11.3209,0,28,t,v,t
122577,118910,0,20.0375,0,28,n,n,t
122577,116788,0,10.7302,0,28,t,v,t
122577,276592,0,12.2111,0,28,n,n,t
150482,105732,0,10.6733,0,42,t,n,n
150482,118910,0,10.5262,0,42,n,t,n
150482,116788,0,10.103,0,42,t,n,n
150482,276592,0,8.4989,0,42,n,t,n
105732,118910,0,11.4153,0,32,n,n,t
105732,142253,0,12.8211,0,32,t,v,t
105732,120210,0,14.1405,1,32,t,n,n
118910,142253,0,8.0929,0,38,n,n,t
118910,120210,0,16.7312,2,38,n,t,n
116788,276592,0,17.2377,0,42,n,n,t
116788,142253,0,9.6466,1,42,t,v,t
116788,120210,0,19.7907,1,42,t,n,n
276592,142253,0,22.8136,0,38,n,n,t
276592,120210,0,13.355,0,38,n,t,n
142253,120210,0,11.3439,0,31,t,n,n
184073,155249,0,11.4624,0,33,v,t,t
184073,785730,0,21.1935,2,33,v,t,t
184073,551418,0,12.2811,0,33,v,t,t
184073,166079,0,24.2123,1,33,n,t,n
184073,175626,0,9.4997,0,33,v,t,t
155249,785730,0,13.1914,0,29,v,t,t
155249,551418,0,9.9369,0,29,v,t,t
155249,166079,0,17.5694,1,29,n,t,n
155249,175626,0,11.9785,0,29,v,t,t
785730,551418,0,19.8122,1,33,v,t,t
785730,291014,0,9.6278,0,33,n,n,t
785730,786750,0,22.1891,0,33,v,t,t
551418,291014,0,15.9162,0,34,n,n,t
551418,786750,0,28.4216,1,34,v,t,t
166079,175626,0,10.8152,2,45,n,t,n
166079,291014,0,14.9865,0,45,t,n,n
166079,786750,0,14.9684,0,45,n,t,n
175626,291014,0,11.0581,0,23,n,n,t
175626,786750,0,12.835,0,23,v,t,t
291014,786750,0,15.3666,0,28,n,n,t
135573,350693,0,16.9439,1,33,v,t,t
135573,122399,0,7.4198,1,33,v,t,t
135573,680968,0,9.9483,0,33,n,n,t
135573,155040,0,9.9848,0,33,n,t,n
135573,698697,0,11.5384,1,33,n,t,n
350693,122399,0,24.7705,0,36,v,t,t
350693,680968,0,23.4468,0,36,n,n,t
350693,155040,0,11.1048,0,36,n,t,n
350693,698697,0,18.5117,0,36,n,t,n
122399,680968,0,15.7096,1,32,n,n,t
122399,119553,0,13.2528,0,32,n,n,t
122399,247208,0,10.3815,1,32,n,n,t
680968,119553,0,12.767,0,32,t,v,t
680968,247208,0,12.0753,0,32,t,v,t
155040,698697,0,20.7733,0,34,t,t,v
155040,119553,0,13.9104,1,34,t,n,n
155040,247208,0,14.6871,0,34,t,n,n
698697,119553,0,15.5321,1,28,t,n,n
698697,247208,0,11.3022,1,28,t,n,n
119553,247208,0,9.6941,1,29,t,v,t
700473,108681,0,11.4133,0,38,n,t,n
700473,401970,0,4.1674,1,38,n,t,n
700473,971907,0,14.5201,0,38,n,n,t
700473,452294,0,14.2414,1,38,v,t,t
700473,419117,0,11.2068,2,38,v,t,t
108681,401970,0,10.9875,0,37,t,t,v
108681,971907,0,18.5048,0,37,t,n,n
108681,452294,0,9.615,0,37,n,t,n
108681,419117,0,12.0561,1,37,n,t,n
401970,971907,0,16.0823,0,32,t,n,n
401970,647011,0,9.6563,2,32,n,t,n
401970,565176,0,9.4215,0,32,t,n,n
